Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD Potential
"A Blockchain Based Application","Student Own","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55080","Richard Banach","1 student","F","F","False"
"A Quantum Computing Project","Student Own","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55079","Richard Banach","1 student","H","H","True"
"Propose your own project in Logic/Automated Reasoning/Verification/Maths","Student Own","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55251","Konstantin Korovin","1 student","F","F","True"
"Your idea for a mathematical project","Student Own","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55177","Andrea Schalk","2 students","C","C","False"
"A Botnet Detector","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55119","Ning Zhang","2 students","F","F","False"
"A Game of Spacetime","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55285","Bijan Parsia","4 students","F","F","False"
"A hi-tech pantry","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55148","Gavin Brown","1 student","F","F","False"
"A Multi-factor Authentication Simulator","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55118","Ning Zhang","2 students","F","F","False"
"A Music Theory Tutor using Visualisation","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55056","Mary Mcgee Wood","3 students","F","F","False"
"A Recipe for Perfect Recipes?","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55130","Kung-kiu Lau","2 students","F","F","False"
"A Simulator for Teaching Ciphers","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55117","Ning Zhang","3 students","F","F","False"
"A Software Tool to Illustrate Graph Colouring","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55367","Rizos Sakellariou","2 students","F","F","True"
"A Virtual Turntable","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55259","Sean Bechhofer","3 students","F","F","False"
"Agent Based Epidemiological Modelling of COVID-19","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55286","Bijan Parsia","8 students","F","F","True"
"AI Study Companion","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55410","Christoforos Moutafis","4 students","C","C","True"
"Analysing the Landscape of UK Computer Science research","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55149","Gavin Brown","2 students","F","F","False"
"Analysing the System Call Invocation Behaviour of Applications","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55066","Pierre Olivier","1 student","H","H","True"
"Architecture for on-chip communication in multi-tenant fog systems","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55394","Davide Bertozzi","1 student","H","H","True"
"Auction Mechanisms for Local Energy Markets","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55318","Mustafa Mustafa","1 student","F","F","False"
"Automatic Audio Processing for Podcasts and Videos","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55309","Terry Morley","2 students","F","F","True"
"Cellular Automata for Simulations of Dynamic Systems","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55185","Uli Sattler","2 students","F","F","False"
"Cheapest Public Transport to Work","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55172","Thomas Carroll","2 students","F","F","False"
"Client-Server Backgammon variant player","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55368","Rizos Sakellariou","4 students","F","F","False"
"Co-simulation of spiking neural networks with neuromorphic hardware","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55395","Davide Bertozzi","1 student","H","C","True"
"Coding Their Future: Computer Science Education in secondary schools","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55300","Duncan Hull","8 students","H","H","False"
"Describing Folk Dance","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55257","Sean Bechhofer","3 students","F","F","False"
